CUSTOMER_ID,RECENCY,FREQUENCY,MONETARY,RECENCY_SCORE,FREQUENCY_SCORE,MONETARY_SCORE,CUSTOMER_SEGMENT
14086,462,1,39.95,1,1,1,Lost Customers
15178,260,1,40.5,2,1,1,Lost Customers
14266,428,1,40.56,1,1,1,Lost Customers
16219,500,1,40.8,1,2,1,Lost Customers
13906,409,1,42,2,2,1,Lost Customers
13913,506,1,42.22,1,2,1,Lost Customers
14300,18,1,43.2,5,1,1,Regular Customers
17916,628,2,43.87,1,2,1,Lost Customers
15672,725,1,45.3,1,2,1,Lost Customers
15698,624,1,46.2,1,1,1,Lost Customers
13438,547,1,46.5,1,1,1,Lost Customers
16257,176,1,46.95,3,1,1,Regular Customers
16530,668,1,48.35,1,1,1,Lost Customers
14380,682,1,48.96,1,2,1,Lost Customers
18184,15,1,49.8,5,1,1,Regular Customers
14743,592,1,50.48,1,2,1,Lost Customers
14351,164,1,51,3,1,1,Regular Customers
13254,376,1,51.41,2,1,1,Lost Customers
17844,106,1,51.56,3,1,1,Regular Customers
16786,393,1,51.84,2,1,1,Lost Customers
15313,110,1,52,3,1,1,Regular Customers
17599,477,1,52.05,1,2,1,Lost Customers
16349,290,1,53.5,2,1,1,Lost Customers
13306,430,1,53.65,1,1,1,Lost Customers
12496,620,2,54.09,1,2,1,Lost Customers
17494,501,1,54.7,1,2,1,Lost Customers
12860,693,1,55.47,1,2,1,Lost Customers
12776,667,1,55.5,1,1,1,Lost Customers
15685,450,1,55.98,1,1,1,Lost Customers
13366,50,1,56.16,4,1,1,Regular Customers
17775,254,1,56.4,2,1,1,Lost Customers
12466,682,1,56.73,1,2,1,Lost Customers
14384,500,1,58.5,1,2,1,Lost Customers
15371,662,1,59.4,1,2,1,Lost Customers
15233,401,1,59.4,2,1,1,Lost Customers
13682,187,1,59.5,3,1,1,Regular Customers
13391,203,1,59.8,2,1,1,Lost Customers
17174,217,1,59.9,2,1,1,Lost Customers
15250,640,1,60,1,2,1,Lost Customers
16605,724,1,60.48,1,2,1,Lost Customers
15375,690,1,60.96,1,2,1,Lost Customers
13818,429,1,61.28,1,1,1,Lost Customers
13303,400,1,61.72,2,1,1,Lost Customers
13380,432,1,62.4,1,1,1,Lost Customers
15516,44,3,62.43,4,3,1,Potential Loyalists
14650,589,1,62.5,1,2,1,Lost Customers
13218,127,1,62.64,3,1,1,Regular Customers
16058,406,1,62.7,2,2,1,Lost Customers
12404,682,1,63.24,1,1,1,Lost Customers
15470,575,1,63.42,1,2,1,Lost Customers
17263,208,1,63.44,2,1,1,Lost Customers
16238,422,1,63.66,1,1,1,Lost Customers
13130,94,1,64,3,1,1,Regular Customers
17216,554,1,65.05,1,2,1,Lost Customers
13022,429,1,65.3,1,1,1,Lost Customers
17532,385,1,65.34,2,1,1,Lost Customers
14393,218,1,67.95,2,1,1,Lost Customers
17249,428,1,68.03,1,1,1,Lost Customers
12861,619,1,68.25,1,1,1,Lost Customers
14906,445,1,68.44,1,1,1,Lost Customers
13172,400,1,69.6,2,1,1,Lost Customers
12568,644,1,70,1,2,1,Lost Customers
15564,463,2,70.74,1,2,1,Lost Customers
13915,394,1,70.8,2,1,1,Lost Customers
14576,372,1,70.8,2,1,1,Lost Customers
17747,112,1,71.4,3,1,1,Regular Customers
16970,626,1,71.4,1,1,1,Lost Customers
13185,267,1,71.4,2,1,1,Lost Customers
13938,35,1,71.66,4,1,1,Regular Customers
16459,729,1,71.79,1,2,1,Lost Customers
13105,436,1,72,1,1,1,Lost Customers
17906,247,1,72.9,2,1,1,Lost Customers
16171,59,1,73.2,3,1,1,Regular Customers
18032,334,1,73.5,2,1,1,Lost Customers
12506,232,1,73.5,2,1,1,Lost Customers
13095,70,1,74.4,3,1,1,Regular Customers
16420,396,1,75,2,1,1,Lost Customers
17944,423,1,75.41,1,1,1,Lost Customers
14559,390,1,75.6,2,1,1,Lost Customers
16610,219,1,75.66,2,1,1,Lost Customers
17628,81,1,75.75,3,1,1,Regular Customers
13219,618,1,76.23,1,1,1,Lost Customers
14613,680,1,76.32,1,2,1,Lost Customers
15668,217,1,76.32,2,1,1,Lost Customers
14090,324,1,76.32,2,1,1,Lost Customers
14373,358,1,76.55,2,1,1,Lost Customers
16867,689,1,76.74,1,2,1,Lost Customers
13132,261,1,77.3,2,1,1,Lost Customers
14785,10,2,77.4,5,2,1,Potential Loyalists
17942,7,1,77.5,5,1,1,Regular Customers
12570,682,1,77.52,1,1,1,Lost Customers
17192,536,1,77.83,1,2,1,Lost Customers
15753,304,1,79.2,2,1,1,Lost Customers
14007,512,1,79.48,1,2,1,Lost Customers
14589,371,1,79.5,2,1,1,Lost Customers
14190,666,1,79.9,1,2,1,Lost Customers
16165,505,1,79.9,1,2,1,Lost Customers
15131,394,1,80.28,2,1,1,Lost Customers
15833,737,1,80.4,1,2,1,Lost Customers
17752,359,1,80.64,2,1,1,Lost Customers
16789,8,1,80.8,5,1,1,Regular Customers
17336,472,1,81.12,1,1,1,Lost Customers
15170,406,1,81.15,2,2,1,Lost Customers
14717,733,1,81.3,1,1,1,Lost Customers
17008,429,1,81.36,1,1,1,Lost Customers
17620,59,1,81.44,3,1,1,Regular Customers
13006,56,1,81.57,4,1,1,Regular Customers
13215,402,1,81.6,2,2,1,Lost Customers
16028,595,1,82.2,1,2,1,Lost Customers
13469,653,1,82.4,1,2,1,Lost Customers
14347,736,1,82.6,1,1,1,Lost Customers
15094,463,2,83,1,2,1,Lost Customers
12401,303,1,84.3,2,1,1,Lost Customers
13841,252,1,85,2,1,1,Lost Customers
15541,114,1,85.13,3,1,1,Regular Customers
13180,607,1,86.1,1,1,1,Lost Customers
17763,263,4,86.15,2,3,1,At Risk
17606,737,1,87.3,1,1,1,Lost Customers
16564,569,1,87.8,1,2,1,Lost Customers
15083,256,1,88.2,2,1,1,Lost Customers
15603,78,2,88.48,3,2,1,Regular Customers
13222,577,1,88.5,1,2,1,Lost Customers
14760,297,1,89.2,2,1,1,Lost Customers
13535,402,1,89.5,2,2,1,Lost Customers
16061,431,1,89.65,1,1,1,Lost Customers
14117,143,1,90,3,1,1,Regular Customers
15686,420,1,90,1,2,1,Lost Customers
16597,4,1,90.04,5,1,1,Regular Customers
16506,19,2,90.3,4,2,1,Potential Loyalists
14435,501,1,90.42,1,2,1,Lost Customers
13947,65,1,90.6,3,1,1,Regular Customers
14786,550,1,90.96,1,2,1,Lost Customers
13392,677,1,91.14,1,2,1,Lost Customers
12659,29,1,91.68,4,1,1,Regular Customers
16831,564,1,91.8,1,2,1,Lost Customers
13160,22,1,91.8,4,1,1,Regular Customers
14054,65,1,92.46,3,1,1,Regular Customers
16196,488,1,93.3,1,1,1,Lost Customers
15082,668,1,93.35,1,1,1,Lost Customers
12992,725,1,93.35,1,2,1,Lost Customers
15305,555,1,93.6,1,2,1,Lost Customers
14394,564,1,93.8,1,2,1,Lost Customers
15397,289,1,94,2,1,1,Lost Customers
15868,583,1,94.53,1,2,1,Lost Customers
14833,498,1,94.8,1,1,1,Lost Customers
15285,407,1,94.92,2,2,1,Lost Customers
12548,166,1,95.2,3,1,1,Regular Customers
18249,17,1,95.34,5,1,1,Regular Customers
17024,45,3,95.85,4,3,1,Potential Loyalists
13793,646,1,96,1,1,1,Lost Customers
14642,58,1,96.12,4,1,1,Regular Customers
17395,508,1,97.5,1,2,1,Lost Customers
12984,18,1,97.5,5,1,1,Regular Customers
18033,65,1,97.97,3,1,1,Regular Customers
17895,44,1,98,4,1,1,Regular Customers
16694,723,1,98.3,1,2,1,Lost Customers
17538,25,1,98.42,4,1,1,Regular Customers
12774,535,1,98.7,1,1,1,Lost Customers
17939,159,1,99.14,3,1,1,Regular Customers
17570,381,1,100,2,1,1,Lost Customers
15635,395,1,100.35,2,1,1,Lost Customers
14371,295,1,100.5,2,1,1,Lost Customers
17427,71,1,100.8,3,1,1,Regular Customers
17224,501,1,100.86,1,2,1,Lost Customers
14946,14,1,100.9,5,1,1,Regular Customers
17493,385,1,100.91,2,1,1,Lost Customers
16498,161,2,100.97,3,2,1,Regular Customers
13011,372,1,101.1,2,1,1,Lost Customers
17741,406,2,101.1,2,2,1,Lost Customers
18195,387,1,101.16,2,1,1,Lost Customers
18086,274,1,101.34,2,1,1,Lost Customers
16944,609,1,101.36,1,1,1,Lost Customers
18068,289,1,101.7,2,1,1,Lost Customers
16516,30,1,101.7,4,1,1,Regular Customers
15486,527,1,102,1,2,1,Lost Customers
13829,421,1,102,1,2,1,Lost Customers
14836,10,3,102.45,5,3,1,Potential Loyalists
17467,395,1,102.6,2,1,1,Lost Customers
15924,731,1,102.82,1,1,1,Lost Customers
14542,185,1,103.25,3,1,1,Regular Customers
16896,555,1,103.95,1,2,1,Lost Customers
16375,470,2,104,1,2,1,Lost Customers
17328,673,1,104.7,1,2,1,Lost Customers
14027,60,1,104.82,3,1,1,Regular Customers
15340,561,1,105.5,1,2,1,Lost Customers
14579,432,1,105.56,1,1,1,Lost Customers
15642,729,1,105.78,1,2,1,Lost Customers
18103,549,1,105.8,1,2,1,Lost Customers
16581,182,1,105.84,3,1,1,Regular Customers
17791,29,1,106.1,4,1,1,Regular Customers
15168,25,1,106.56,4,1,1,Regular Customers
14637,677,1,106.68,1,2,1,Lost Customers
16082,670,1,106.75,1,2,1,Lost Customers
16630,407,1,106.8,2,2,1,Lost Customers
15846,385,1,107.01,2,1,1,Lost Customers
16047,682,1,107.14,1,2,1,Lost Customers
15328,407,1,107.24,2,2,1,Lost Customers
16301,736,1,107.33,1,1,1,Lost Customers
15395,325,1,107.45,2,1,1,Lost Customers
14943,663,1,107.62,1,2,1,Lost Customers
13580,406,1,107.75,2,2,1,Lost Customers
15583,376,1,107.86,2,1,1,Lost Customers
14661,26,1,107.95,4,1,1,Regular Customers
14374,541,1,108,1,1,1,Lost Customers
16106,65,1,108.38,3,1,1,Regular Customers
14345,38,1,108.98,4,1,1,Regular Customers
16664,569,1,109.2,1,2,1,Lost Customers
16363,53,1,109.36,4,1,1,Regular Customers
14033,555,1,109.44,1,2,1,Lost Customers
15851,526,1,109.73,1,2,1,Lost Customers
16339,284,1,109.95,2,1,1,Lost Customers
17836,47,1,110.21,4,1,1,Regular Customers
14641,21,1,110.46,4,1,1,Regular Customers
16963,187,1,110.55,3,1,1,Regular Customers
14787,471,1,110.65,1,1,1,Lost Customers
18256,387,1,110.7,2,1,1,Lost Customers
15853,51,1,110.8,4,1,1,Regular Customers
15537,163,1,110.92,3,1,1,Regular Customers
14509,534,1,110.95,1,1,1,Lost Customers
12692,637,1,110.95,1,1,1,Lost Customers
14464,568,2,111,1,2,1,Lost Customers
16064,725,1,111,1,2,1,Lost Customers
18120,214,1,111.15,2,1,1,Lost Customers
17887,129,1,111.35,3,1,1,Regular Customers
17304,534,1,111.5,1,1,1,Lost Customers
18124,472,1,111.53,1,1,1,Lost Customers
14668,445,1,111.63,1,1,1,Lost Customers
17957,66,1,111.68,3,1,1,Regular Customers
16547,546,1,111.71,1,1,1,Lost Customers
15875,646,1,111.72,1,1,1,Lost Customers
14750,736,1,112.03,1,1,1,Lost Customers
12756,86,1,112.08,3,1,1,Regular Customers
17900,190,2,112.2,2,2,1,Lost Customers
17893,225,1,112.25,2,1,1,Lost Customers
17816,36,6,112.32,4,4,1,Loyal Customers
13620,528,1,112.34,1,2,1,Lost Customers
15610,51,1,112.46,4,1,1,Regular Customers
15899,368,1,112.5,2,1,1,Lost Customers
18129,243,1,112.55,2,1,1,Lost Customers
16697,241,1,112.75,2,1,1,Lost Customers
14689,208,1,112.8,2,1,1,Lost Customers
17784,550,1,112.86,1,2,1,Lost Customers
16821,381,1,113.35,2,1,1,Lost Customers
18105,37,1,113.48,4,1,1,Regular Customers
14457,310,1,113.64,2,1,1,Lost Customers
18148,646,1,114.1,1,1,1,Lost Customers
14582,40,1,114.11,4,1,1,Regular Customers
12938,25,1,114.14,4,1,1,Regular Customers
14652,77,1,114.18,3,1,1,Regular Customers
14974,37,1,114.39,4,1,1,Regular Customers
17275,383,1,114.52,2,1,1,Lost Customers
16247,170,1,114.56,3,1,1,Regular Customers
14632,262,1,114.56,2,1,1,Lost Customers
13188,11,1,114.6,5,1,1,Regular Customers
17933,632,1,114.69,1,2,1,Lost Customers
15905,543,1,114.69,1,1,1,Lost Customers
17401,541,1,114.85,1,1,1,Lost Customers
15352,548,1,114.95,1,2,1,Lost Customers
18012,723,1,115.3,1,2,1,Lost Customers
18027,98,1,115.31,3,1,1,Regular Customers
17208,395,1,115.35,2,1,1,Lost Customers
13241,411,1,115.58,1,2,1,Lost Customers
14721,379,1,115.77,2,1,1,Lost Customers
14143,133,1,115.8,3,1,1,Regular Customers
13170,26,1,116.01,4,1,1,Regular Customers
14874,535,1,116.18,1,2,1,Lost Customers
17117,288,1,116.2,2,1,1,Lost Customers
16959,87,1,117.35,3,1,1,Regular Customers
17654,277,1,117.55,2,1,1,Lost Customers
16291,682,1,117.72,1,2,1,Lost Customers
12929,311,1,117.85,2,1,1,Lost Customers
13193,61,1,117.88,3,1,1,Regular Customers
14155,266,1,118.75,2,1,1,Lost Customers
17079,78,1,118.8,3,1,1,Regular Customers
17280,438,1,118.86,1,1,1,Lost Customers
15843,303,1,118.95,2,1,1,Lost Customers
17177,505,1,119.5,1,2,1,Lost Customers
15161,388,1,119.92,2,1,1,Lost Customers
14453,190,1,119.93,2,1,1,Lost Customers
14259,141,1,120,3,1,1,Regular Customers
18015,4,1,120.03,5,1,1,Regular Customers
17543,549,1,120.05,1,2,1,Lost Customers
14884,669,1,120.6,1,1,1,Lost Customers
17446,176,2,120.9,3,2,1,Regular Customers
17260,411,1,120.95,1,2,1,Lost Customers
15049,273,1,121.17,2,1,1,Lost Customers
13182,45,1,121.18,4,1,1,Regular Customers
13244,92,1,121.74,3,1,1,Regular Customers
16073,297,1,122.4,2,1,1,Lost Customers
13084,491,1,122.4,1,2,1,Lost Customers
12969,602,1,122.45,1,2,1,Lost Customers
14076,129,1,122.47,3,1,1,Regular Customers
14165,275,1,122.54,2,1,1,Lost Customers
13638,15,1,122.64,5,1,1,Regular Customers
13876,63,1,122.7,3,1,1,Regular Customers
16068,593,1,122.93,1,2,1,Lost Customers
15927,647,1,123.39,1,1,1,Lost Customers
14187,473,1,123.5,1,1,1,Lost Customers
13968,423,1,123.66,1,1,1,Lost Customers
15779,463,2,124.08,1,2,1,Lost Customers
18000,564,1,124.25,1,2,1,Lost Customers
12773,564,1,124.25,1,2,1,Lost Customers
17316,420,1,124.45,1,2,1,Lost Customers
17541,509,1,124.46,1,2,1,Lost Customers
16849,186,1,124.57,3,1,1,Regular Customers
14726,654,1,124.75,1,2,1,Lost Customers
13312,451,1,124.75,1,1,1,Lost Customers
17148,51,1,124.88,4,1,1,Regular Customers
13912,423,1,124.95,1,1,1,Lost Customers
15731,553,1,125.3,1,2,1,Lost Customers
15017,33,1,125.58,4,1,1,Regular Customers
16925,540,1,125.65,1,1,1,Lost Customers
13522,30,1,125.8,4,1,1,Regular Customers
12814,101,1,125.92,3,1,1,Regular Customers
17657,430,1,126,1,1,1,Lost Customers
13794,546,1,126.03,1,1,1,Lost Customers
16294,476,1,126.05,1,2,1,Lost Customers
15463,29,1,126.14,4,1,1,Regular Customers
14751,684,2,126.45,1,2,1,Lost Customers
16973,386,1,127,2,1,1,Lost Customers
15578,162,1,127.1,3,1,1,Regular Customers
13053,621,1,127.65,1,1,1,Lost Customers
16397,628,1,127.88,1,1,1,Lost Customers
13666,60,5,127.9,3,4,1,Loyal Customers
15892,669,1,128.2,1,1,1,Lost Customers
16251,512,1,128.31,1,2,1,Lost Customers
17089,386,1,128.45,2,1,1,Lost Customers
16828,93,2,128.5,3,2,1,Regular Customers
17056,738,1,128.6,1,2,1,Lost Customers
13071,612,1,129.22,1,1,1,Lost Customers
12555,682,1,129.23,1,1,1,Lost Customers
14999,592,1,129.48,1,2,1,Lost Customers
17847,515,2,129.69,1,2,1,Lost Customers
14865,7,4,129.72,5,3,1,Potential Loyalists
15317,677,1,129.75,1,2,1,Lost Customers
17762,456,1,129.75,1,1,1,Lost Customers
16288,470,1,129.85,1,1,1,Lost Customers
17818,737,1,130.18,1,1,1,Lost Customers
16410,734,1,130.32,1,2,1,Lost Customers
17240,596,1,130.6,1,2,1,Lost Customers
15844,46,1,130.74,4,1,1,Regular Customers
16865,401,1,130.95,2,1,1,Lost Customers
17225,581,1,131.15,1,2,1,Lost Customers
15409,721,1,131.25,1,2,1,Lost Customers
14378,621,1,131.25,1,1,1,Lost Customers
14795,166,1,131.45,3,1,1,Regular Customers
13586,541,1,131.53,1,1,1,Lost Customers
17455,203,1,131.7,2,1,1,Lost Customers
17297,17,1,131.78,5,1,1,Regular Customers
17565,586,1,131.83,1,2,1,Lost Customers
14438,306,1,131.9,2,1,1,Lost Customers
14444,456,1,132.04,1,1,1,Lost Customers
12964,437,1,132.24,1,1,1,Lost Customers
17909,737,1,132.55,1,2,1,Lost Customers
12467,423,1,132.8,1,1,1,Lost Customers
17881,304,1,133.35,2,1,1,Lost Customers
15056,520,1,133.45,1,2,1,Lost Customers
14349,10,1,133.5,5,1,1,Regular Customers
16886,456,1,134,1,1,1,Lost Customers
14280,196,1,134.04,2,1,1,Lost Customers
16486,537,1,134.36,1,2,1,Lost Customers
15926,542,1,134.44,1,1,1,Lost Customers
14174,33,1,134.46,4,1,1,Regular Customers
17826,374,1,134.59,2,1,1,Lost Customers
14340,218,1,134.7,2,1,1,Lost Customers
16055,220,1,134.8,2,1,1,Lost Customers
13119,668,1,134.9,1,1,1,Lost Customers
13364,71,1,134.96,3,1,1,Regular Customers
17960,171,3,135.08,3,3,1,Regular Customers
13702,445,1,135.18,1,1,1,Lost Customers
13144,332,2,135.35,2,2,1,Lost Customers
14588,578,1,135.39,1,2,1,Lost Customers
13076,457,1,135.4,1,1,1,Lost Customers
16665,362,1,135.4,2,1,1,Lost Customers
14391,576,1,135.6,1,2,1,Lost Customers
16114,170,1,135.75,3,1,1,Regular Customers
15419,24,1,135.86,4,1,1,Regular Customers
14889,336,1,135.9,2,1,1,Lost Customers
17583,560,1,135.95,1,2,1,Lost Customers
12968,112,1,135.95,3,1,1,Regular Customers
16462,73,3,136,3,3,1,Regular Customers
14366,525,1,136,1,2,1,Lost Customers
16876,403,1,136.01,2,2,1,Lost Customers
17972,241,1,136.04,2,1,1,Lost Customers
16651,586,1,136.2,1,2,1,Lost Customers
16289,462,1,136.31,1,1,1,Lost Customers
16237,437,1,136.65,1,1,1,Lost Customers
13907,691,1,136.8,1,2,1,Lost Customers
15836,50,1,137.37,4,1,1,Regular Customers
13279,78,1,137.75,3,1,1,Regular Customers
16396,476,1,137.8,1,2,1,Lost Customers
12512,66,2,138.03,3,3,1,Regular Customers
15663,106,1,138.14,3,1,1,Regular Customers
17982,680,1,138.18,1,2,1,Lost Customers
13716,269,1,138.28,2,1,1,Lost Customers
12902,264,1,138.68,2,1,1,Lost Customers
13273,113,1,138.98,3,1,1,Regular Customers
18209,28,1,139.1,4,1,1,Regular Customers
14707,435,2,139.2,1,2,1,Lost Customers
14772,112,1,139.26,3,1,1,Regular Customers
16483,192,1,139.35,2,1,1,Lost Customers
16840,603,2,139.85,1,3,1,At Risk
15848,621,1,139.94,1,1,1,Lost Customers
13839,486,1,139.95,1,2,1,Lost Customers
15324,701,1,140.22,1,2,1,Lost Customers
13483,65,1,140.34,3,1,1,Regular Customers
15702,476,2,140.39,1,2,1,Lost Customers
15388,270,1,140.54,2,1,1,Lost Customers
14773,592,1,140.55,1,2,1,Lost Customers
17959,592,1,140.75,1,2,1,Lost Customers
12636,738,1,141,1,2,1,Lost Customers
17273,424,1,141.12,1,1,1,Lost Customers
14041,266,1,141.41,2,1,1,Lost Customers
14386,296,1,142.4,2,1,1,Lost Customers
15761,442,1,143.05,1,1,1,Lost Customers
15705,201,1,143.1,2,1,1,Lost Customers
17149,451,1,143.1,1,1,1,Lost Customers
14574,732,1,143.7,1,1,1,Lost Customers
14604,633,1,143.86,1,2,1,Lost Customers
12387,415,1,143.94,1,2,1,Lost Customers
12587,7,1,144,5,1,1,Regular Customers
17186,46,2,144,4,3,1,Potential Loyalists
15816,542,2,144.15,1,2,1,Lost Customers
14109,72,1,144.2,3,1,1,Regular Customers
17938,420,1,144.29,1,2,1,Lost Customers
16852,10,2,144.91,5,2,1,Potential Loyalists
15902,380,1,145.01,2,1,1,Lost Customers
16598,285,1,145.05,2,1,1,Lost Customers
14972,128,2,145.07,3,2,1,Regular Customers
17199,582,1,145.12,1,2,1,Lost Customers
15937,64,1,145.35,3,1,1,Regular Customers
13866,74,1,145.67,3,1,1,Regular Customers
12565,288,1,145.92,2,1,1,Lost Customers
18137,551,2,145.99,1,2,1,Lost Customers
15496,631,1,146.14,1,1,1,Lost Customers
14683,588,1,146.56,1,2,1,Lost Customers
17030,63,1,146.87,3,1,1,Regular Customers
17794,686,2,147.3,1,2,1,Lost Customers
14098,36,1,147.35,4,1,1,Regular Customers
16724,404,1,147.35,2,2,1,Lost Customers
15479,733,1,147.4,1,1,1,Lost Customers
13578,409,1,147.66,2,2,1,Lost Customers
17859,304,1,148.21,2,1,1,Lost Customers
13457,688,2,148.22,1,2,1,Lost Customers
17592,738,1,148.3,1,2,1,Lost Customers
15283,390,3,148.33,2,3,1,At Risk
15526,33,2,148.44,4,2,1,Potential Loyalists
17549,23,2,148.86,4,2,1,Potential Loyalists
13003,105,3,149.05,3,3,1,Regular Customers
15435,22,1,149.29,4,1,1,Regular Customers
17390,420,1,149.3,1,2,1,Lost Customers
18038,556,1,149.41,1,2,1,Lost Customers
17946,233,2,149.58,2,3,1,At Risk
13257,436,1,149.75,1,1,1,Lost Customers
17234,182,1,149.89,3,1,1,Regular Customers
14845,599,1,150,1,2,1,Lost Customers
15775,245,2,150.5,2,2,1,Lost Customers
14084,512,1,150.5,1,2,1,Lost Customers
15991,534,1,150.55,1,1,1,Lost Customers
14980,737,1,150.68,1,2,1,Lost Customers
12959,484,1,150.95,1,2,1,Lost Customers
14073,32,1,151.04,4,1,1,Regular Customers
16337,36,1,151.05,4,1,1,Regular Customers
13697,38,1,151.3,4,1,1,Regular Customers
18076,380,1,151.49,2,1,1,Lost Customers
16617,235,1,151.85,2,1,1,Lost Customers
13653,487,1,152.2,1,1,1,Lost Customers
17327,409,2,152.35,2,2,1,Lost Customers
14066,266,1,152.55,2,1,1,Lost Customers
18113,368,1,152.64,2,1,1,Lost Customers
18138,295,1,152.65,2,1,1,Lost Customers
16507,572,1,152.76,1,2,1,Lost Customers
16248,61,1,152.94,3,1,1,Regular Customers
12602,58,1,153.12,3,1,1,Regular Customers
15431,502,1,153.24,1,2,1,Lost Customers
15560,397,2,153.52,2,2,1,Lost Customers
17517,308,1,153.94,2,1,1,Lost Customers
13490,654,1,154.25,1,2,1,Lost Customers
15226,310,1,154.41,2,1,1,Lost Customers
15740,49,1,154.88,4,1,1,Regular Customers
17698,260,1,154.95,2,1,1,Lost Customers
14046,284,1,154.99,2,1,1,Lost Customers
14368,319,1,155,2,1,1,Lost Customers
17832,49,1,155.37,4,1,1,Regular Customers
13051,578,2,155.8,1,3,1,At Risk
17899,159,1,155.8,3,1,1,Regular Customers
15263,106,1,156.51,3,1,1,Regular Customers
15438,131,1,156.58,3,1,1,Regular Customers
16578,626,1,156.6,1,1,1,Lost Customers
14406,119,1,156.75,3,1,1,Regular Customers
13830,581,1,156.85,1,2,1,Lost Customers
15742,619,1,156.87,1,1,1,Lost Customers
15007,159,1,156.91,3,1,1,Regular Customers
17118,317,1,157.02,2,1,1,Lost Customers
17128,334,1,157.09,2,1,1,Lost Customers
16371,448,1,157.2,1,1,1,Lost Customers
12894,575,1,157.35,1,2,1,Lost Customers
16687,390,1,157.63,2,1,1,Lost Customers
14822,485,1,157.7,1,2,1,Lost Customers
14207,687,1,157.8,1,2,1,Lost Customers
17751,421,1,157.86,1,2,1,Lost Customers
14318,460,1,158.02,1,1,1,Lost Customers
15348,72,1,158.04,3,1,1,Regular Customers
15548,595,1,158.09,1,2,1,Lost Customers
13125,523,1,158.57,1,2,1,Lost Customers
18224,263,1,158.95,2,1,1,Lost Customers
16213,78,1,159,3,1,1,Regular Customers
13302,155,2,159.2,3,2,1,Regular Customers
13420,149,2,159.85,3,2,1,Regular Customers
12966,9,1,160.18,5,1,1,Regular Customers
18146,140,2,160.35,3,2,1,Regular Customers
16645,735,1,160.39,1,1,1,Lost Customers
14814,581,1,160.46,1,2,1,Lost Customers
15229,586,1,160.5,1,2,1,Lost Customers
17487,728,1,160.55,1,2,1,Lost Customers
17202,420,1,160.65,1,2,1,Lost Customers
17605,590,1,160.75,1,2,1,Lost Customers
17953,540,1,160.82,1,1,1,Lost Customers
13229,225,1,160.95,2,1,1,Lost Customers
13701,446,1,161,1,1,1,Lost Customers
14089,56,1,161,4,1,1,Regular Customers
13779,515,1,161.13,1,2,1,Lost Customers
14362,22,1,161.2,4,1,1,Regular Customers
13714,465,1,161.35,1,1,1,Lost Customers
16113,183,1,161.38,3,1,1,Regular Customers
15499,723,1,161.6,1,2,1,Lost Customers
14571,425,1,161.65,1,1,1,Lost Customers
17600,17,1,161.67,5,1,1,Regular Customers
17971,548,1,161.94,1,2,1,Lost Customers
12661,436,1,162,1,1,1,Lost Customers
16443,520,1,162.24,1,2,1,Lost Customers
